Job,Position,Data
Call Center job in Vijay Nagar Indore,Call Center,"


Vijay Nagar

₹ 5,000 to ₹ 10,000

6 Months to 1 Year

B.A.
Full Time (Day)


Female

English,Hindi
English,Hindi
4 Opening (s)




Customer support




Job Description
 




Required Customer support







CALL NOW
CALL NOW



"
Graphic Designer Job In Hari Nagar Be Block Delhi Near Mayapuri,Designer,"


Hari Nagar be block

₹ 9,000 to ₹ 10,000

1 Month to 1 Year

12th Standard
Full Time (Day)


Male

English,Hindi
English,Hindi
1 Opening (s)




Good communication, Creative, Design-Graphic 




Job Description
 




Required Good communication,Creative,Design-Graphic







CALL NOW
CALL NOW



"
Want To Female Tallecaller,Digital Marketing,"


Vijay Nagar

₹ 5,000 to ₹ 10,000

6 Months to 1 Year

B.Com
Full Time (Day)


Female

English,Hindi
English,Hindi
2 Opening (s)




Marketing Platform




Job Description
 




Required Marketing Platform







CALL NOW
CALL NOW



"
Business Analyst / Data Analyst job in Naraina Industrial estate Delhi,Business Analyst / Data Analyst,"


Naraina Industrial estate

₹ 6,000 to ₹ 1 Lac +





Fresher


12th Standard
Part Time (Afternoon)


Any Gender

Hindi
English,Hindi
65 Opening (s)




Others - business opportunities




Job Description
 




Required Others - business opportunities







CALL NOW
CALL NOW



"
Caretaker / Nanny / Aaya Job in Noida sec. 135 Noida,Caretaker / Nanny / Aaya,"


Noida sec. 135

₹ 10,000 to ₹ 12,000





Fresher


10th Standard
Full Time (Day)


Female

Hindi
Hindi
3 Opening (s)




Love of Children, Positive attitude, Well Mannered, Sweeping & Moping, Kitchen cleaning, Cooking foods




Job Description
 




Required Love of Children,Positive attitude,Well Mannered,Sweeping & Moping,Kitchen cleaning,Cooking foods







CALL NOW
CALL NOW



"
"Telesales Executive Job In Dilshad Garden, Delhi -110095",Call Center,"


Dilshad Garden, Anand Vihar, Jhilmil, Shahdara

₹ 11,000 to ₹ 16,000

3 Months to 1 Year

12th Standard
Full Time (Day)


Any Gender

Hindi,English
Hindi,English
9 Opening (s)




Domestic, Outbound, Voice, Telesales




Job Description
 




Required Domestic,Outbound,Voice,Telesales







CALL NOW
CALL NOW



"
Office Assistant / Clerk / Back Office job in Subhash Nagar Delhi,Office Assistant / Clerk / Back Office,"


Subhash Nagar

₹ 13,000 to ₹ 18,000

4 Years to 7+ Years

12th Standard
Full Time (Day)


Female

English,Hindi
English,Hindi
2 Opening (s)




Cash & Bank handling, Basic book keeping, Inventory Management, Filing documents




Job Description
 




Required Cash & Bank handling, Basic book keeping, Inventory Management, Filing documents







CALL NOW
CALL NOW



"
Call Center job in Ignou Delhi,Call Center,"


Ignou

₹ 5,000 to ₹ 10,000





Fresher


12th Standard
Full Time (Day)


Female

English,Hindi
English,Hindi
1 Opening (s)




Voice, Good communication, MS Excel




Job Description
 




Required Voice, Good communication, MS Excel







CALL NOW
CALL NOW



"
Telesales,Call Center,"


Mahipalpur

₹ 11,000 to ₹ 17,000





Fresher


12th Standard
Full Time (Day)


Female

Hindi,English
Hindi,English
10 Opening (s)




Domestic, Inbound, Outbound, Non voice, Voice, Telesales, Technical support, Non technical support, Customer support, Basics of computer, MS Excel, Analytical ability, Good communication, Proofreading, Quality assurance, Email writing & Etiquette, Typing speed-below 30 word / minute




Job Description
 




Required Domestic,Inbound,Outbound,Non voice,Voice,Telesales,Technical support,Non technical support,Customer support,Basics of computer,MS Excel,Analytical ability,Good communication,Proofreading,Qua







CALL NOW
CALL NOW



"
Database / System / Linux Administrator job in Manjusar Vadodara,Database / System / Linux Administrator,"


Manjusar, Savli

₹ 5,000 to ₹ 60,000





Fresher


12th Standard
Full Time (Night)


Any Gender

Bhojpuri,Oriya,Punjabi,Marathi,Gujarati,English,Hindi
Gujarati,English,Hindi
15 Opening (s)




Others - system opreting




Job Description
 




Required Others - system opreting







CALL NOW



"
